station,start_at,end_at,path,start_time,end_time,start_date,start_hour,start_mn
2,2022-03-04T20:00:01,2022-03-04T21:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220304200001_20220304210001.mp4,2022-03-04 20:00:01,2022-03-04 21:00:01,2022-03-04,20,0
1,2022-03-04T11:00:00,2022-03-04T12:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220304110000_20220304120000.mp4,2022-03-04 11:00:00,2022-03-04 12:00:00,2022-03-04,11,0
9,2022-03-04T13:00:08,2022-03-04T14:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220304130008_20220304140008.mp4,2022-03-04 13:00:08,2022-03-04 14:00:08,2022-03-04,13,0
9,2022-03-01T07:00:08,2022-03-01T08:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220301070008_20220301080008.mp4,2022-03-01 07:00:08,2022-03-01 08:00:08,2022-03-01,7,0
9,2022-03-02T06:00:00,2022-03-02T07:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220302060000_20220302070008.mp4,2022-03-02 06:00:00,2022-03-02 07:00:08,2022-03-02,6,0
2,2022-03-05T11:41:11,2022-03-05T13:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220305114111_20220305130001.mp4,2022-03-05 11:41:11,2022-03-05 13:00:01,2022-03-05,11,41
2,2022-03-02T20:00:01,2022-03-02T21:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220302200001_20220302210001.mp4,2022-03-02 20:00:01,2022-03-02 21:00:01,2022-03-02,20,0
1,2022-03-01T20:00:00,2022-03-01T21:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220301200000_20220301210000.mp4,2022-03-01 20:00:00,2022-03-01 21:00:00,2022-03-01,20,0
9,2022-03-03T06:00:00,2022-03-03T07:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220303060000_20220303070008.mp4,2022-03-03 06:00:00,2022-03-03 07:00:08,2022-03-03,6,0
10,2022-02-28T15:00:09,2022-02-28T16:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220228150009_20220228160009.mp4,2022-02-28 15:00:09,2022-02-28 16:00:09,2022-02-28,15,0
9,2022-03-05T13:00:08,2022-03-05T14:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220305130008_20220305140008.mp4,2022-03-05 13:00:08,2022-03-05 14:00:08,2022-03-05,13,0
10,2022-03-01T11:41:07,2022-03-01T13:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220301114107_20220301130009.mp4,2022-03-01 11:41:07,2022-03-01 13:00:09,2022-03-01,11,41
2,2022-03-03T20:00:01,2022-03-03T21:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220303200001_20220303210001.mp4,2022-03-03 20:00:01,2022-03-03 21:00:01,2022-03-03,20,0
1,2022-03-03T20:00:00,2022-03-03T21:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220303200000_20220303210000.mp4,2022-03-03 20:00:00,2022-03-03 21:00:00,2022-03-03,20,0
